;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;
1426;2405;85064;19353280;85038;32803139;25.09.2015 13:34;[id5156359|Геннадий], Вы верно подметили отличие закона от права. Но вопрос в том, что в этом посте уважаемая редакция пытается обосновать именно незаконный характер лишения полномочий, что выглядит спорным.;0;Н2;3
1427;2406;85065;5156359;85038;32803139;25.09.2015 13:35;[id19353280|Дмитрий], но это всё не важные частности;0;Б4;4
1428;2407;85066;19353280;85038;32803139;25.09.2015 13:49;[id5156359|Геннадий], Дьявол в мелочах. Все чаще наблюдаю как  борцы с Драконом  постепенно превращаются в  маленьких дракончиков  в вековой войне добра и зла)<br>В результате получаем примерно такое отношение:<br>— А либералы — это полное дерьмо. Да и какие они либералы? Я помню, как они кричали в 1993 году: «Посадите Невзорова!», «Расстреляйте его как бешеную собаку!». Помню, как они заходились радостным визгом, каждый раз когда танковый снаряд попадал по Дому Советов, где находились живые люди. Какие они, к чертовой матери, либералы? И это все понимают, даже они сами. И эти хоругвеносцы сегодняшние — это обратная сторона сегодняшних же либералов. http://paperpaper.ru/nevzorov/;1;Б3, Н4;4
1429;2408;85067;5156359;85038;32803139;25.09.2015 13:53;[id19353280|Дмитрий], я не понял про что это. Из того времени я хорошо помню видео на котором Руцкой призывал бомбить Москву и дрочил Зорькина за мягкотелость..;1;Н4;4
1430;2409;85068;19353280;85038;32803139;25.09.2015 14:09;Зорькин тогда вместо того, чтобы предложить конституционный выход из тупика, только подлил масла в политический конфликт на стороне Руцкого. Быть может, именно осознание своей доли вины в тех эпохальных событиях повлияло на него в сторону приверженности традиционному сильному суверенному государству, но не мне его судить);0;Т4;4
1431;2410;85069;5156359;85038;32803139;25.09.2015 14:26;[id19353280|Дмитрий], если не помните, то я хорошо помню, чем был и чем стал Верховный Совет Хасбуллатова, как латалась   с голоса  советская конституция. Какие там предложения, кто такой был Pорькин?! Даже суд над КП$$ не смог провести как следует. Ладно, оставим.;1;Ч4;4
1432;2411;85070;19353280;85038;32803139;25.09.2015 15:00;[id1741219|Виктор], рассматриваемые положения Закона Псковской области сформулированы достаточно определенно, поэтому не требуют дополнительного толкования в системе с 184-фз. Можно отдельно поставить вопрос об их противоречии нормам 184-фз, но для этого сначала необходимо системно истолковать сами нормы 184-фз, так как в них содержится явная неопределенность. Отсутствие санкции непосредственно в пункте 5.1 о недопустимости участия депутата в суде в качестве представителя может быть пробелом, квалифицированным умолчанием, нормой, являющейся основанием для ограничения соответствующих прав в процессуальных законах... Надеюсь, скоро мы получим судебное решение по этому делу и сможем детально разобрать все доводы) Хорошим кейсом для аналогий будут решения ВС и КС по делу Гудкова.<br>Лишение депутатских полномочий без предварительного судебного контроля в подобных случаях признано не противоречащим Конституции РФ (Постановление КС 34-П от 27.12.2012 г.).;0;И4;3
1433;2412;85071;61976546;85038;32803139;25.09.2015 15:10;[id19353280|Дмитрий], суд допускал Льва Шлосберга в заседания как законного представителя https://www.youtube.com/watch?v=SuDIuExKYxs, а псковский парламет и прокуратура оттоптались на позиции суда. http://vk.com/video61976546_171399399;0;Ч4;2
1434;2413;85072;1741219;85038;32803139;25.09.2015 15:31;[id61976546|Глеб], если это так, то это странно.<br>П.2 ст.48 ГПК  Дела организаций ведут в суде их органы, действующие в пределах полномочий, предоставленных им федеральным законом, иными правовыми актами или учредительными документами, либо представители.<br> <br>Полномочия органов, ведущих дела организаций, подтверждаются документами, удостоверяющими служебное положение их представителей, а при необходимости учредительными документами. <br><br>Т.е. Лев Маркович мог бы вести дело организации не как представитель организации, а как орган, которому Уставом такое право предоставлено. Но учредитель - это не орган, насколько я понимаю. Учредитель - это субъект, волей которого организация была создана, и который, возможно, обладает определенными правами и обязанностями по отношению к организации. Органом является исполнительный директор, и это, как мы видели в ЕГРЮЛ, не Шлосберг. Кроме того, статус депутата накладывает другие ограничения, препятствующие, насколько я понимаю, являться (входить в состав)исполнительным органом.<br><br>Кроме того, где-то звучало, что представительство было на основании доверенности. Значит это было именно представительство, и оно не являлось законным представительством.<br><br>Законное представительство, о котором говорит статья 52 ГПК - это представительство опекуном недееспособного или ограниченно дееспособного лица. К организациям это не имеет отношение.<br><br>Я склонен думать, что закон о статусе депутата был нарушен. Льву Марковичу суд должен был отказать в праве представлять организацию. Но если уж участники процесса не обратили на это обстоятельство внимание и/или суд допустил такую оплошность, основанием для лишения статуса депутата оно быть не может.;0;Ч4;3
1435;2414;85073;19353280;85038;32803139;25.09.2015 15:45;[id61976546|Глеб], суд первой инстанции допустил ошибку, суд второй инстанции эту ошибку исправил. <br>Аргумент Льва Шлосберга о том, что он полагал, что является законным представителем учрежденной им организации говорит о том, что это правонарушение было неумышленным. Данное обстоятельство может быть основанием освобождения его от ответственности в виде лишения депутатских полномочий.;0;И4;2
1436;2415;85074;61976546;85038;32803139;25.09.2015 15:46;[id19353280|Дмитрий], что ещё за вторая инстанция и как эту ошибку можно было исправить?;0;А4;3
1437;2416;85075;1741219;85038;32803139;25.09.2015 15:49;[id19353280|Дмитрий], 184-ФЗ применим в силу статьи 3, в частности  Законы и иные нормативные правовые акты субъектов Российской Федерации не могут противоречить федеральным законам, принятым по предметам ведения Российской Федерации и предметам совместного ведения. В случае противоречия между федеральным законом и иным актом, изданным в Российской Федерации, действует федеральный закон. <br><br>Отсутствие конституционно-правовых санкций, полагаю, означает лишь отсутствие конституционно-правовых санкций за соответствующее нарушение и не исключает возможности наложения административных, уголовных или дисциплинарных санкций, если они предусмотрены соответствующими нормативно-правовыми актами. Само по себе ограничение представительства является основанием для ограничения процессуальных прав: суд обязан не допустить депутата к участию в процессе в качестве представителя, а стороны вправе требовать этого от суда.;0;И4;2
1438;2417;85076;1741219;85038;32803139;25.09.2015 15:52;[id19353280|Дмитрий], как раз конституционно-правовой характер санкций заставляет думать, что наличие или отсутствие умысла, в отличие от административных или уголовных санкций, значения не имеет. Хоть одному кандидату отсутствие умысла на совершение ошибок при оформлении подписных листов помогло избежать ответственности в форме отказа в регистрации кандидата?<br><br>Собственно, единственный повод применить санкцию в форме досрочного прекращения статуса депутата - это отсутствие других санкций. Допустим, законодатель за какие-то нарушения предусматривал прекращение статуса, а за какие-то - приостановку статуса на 6 месяцев. Как бы мы определили, какую из санкций следует применить в случае, если санкция явно не указана?;0;Ж4;3
1439;2418;85077;19353280;85038;32803139;25.09.2015 15:58;[id1741219|Виктор], как ты полагаешь, отсутствие конституционно-правовых санкций в ч. 3 ст. 97 Конституции РФ о том, что Депутаты Государственной Думы не могут находиться на государственной службе, заниматься другой оплачиваемой деятельностью, кроме преподавательской, научной и иной творческой деятельности, означает лишь отсутствие конституционно-правовых санкций?);0;А3;4
1440;2419;85078;61976546;85038;32803139;25.09.2015 16:01;[id19353280|Дмитрий], а что со второй инстанцией-то? :);0;А3;4
1441;2420;85079;19353280;85038;32803139;25.09.2015 16:11;[id61976546|Глеб], ты не знаешь, что было апелляционное определение по его делу? Прочитай хотя бы МР:<br>В апелляционном определении Псковского областного суда от 16.07.2015 по делу № 33-997/2015 указано, что «поскольку Шлосберг Л.М. на постоянной основе осуществляет деятельность депутата Псковского областного Собрания депутатов, что подтверждается представленным в судебном заседании удостоверением № 43 от 15 декабря 2011 года, то он в силу закона не имеет полномочий представлять интересы АНО «Возрождение» по гражданскому делу». Однако, из судебного акта следует, что апелляционная жалоба на решение Псковского городского суда от 01.04.2015 была подписана представителем АНО «Возрождение» Львом Шлосбергом, действующим на основании доверенности выданной директором данной организации Максимом Копытовым . http://www.mr7.ru/articles/118185/;0;Ж4;2
1442;2421;85080;1741219;85038;32803139;25.09.2015 16:12;[id19353280|Дмитрий], статья 71 Конституции РФ относит  установление системы федеральных органов законодательной, исполнительной и судебной власти, порядка их организации и деятельности :  формирование федеральных органов государственной власти  к ведению Российской Федерации. В соответствии с частью 1 статьи 76,  по предметам ведения Российской Федерации принимаются федеральные конституционные законы и федеральные законы, имеющие прямое действие на всей территории Российской Федерации . Таким образом, отсутствие конституционно-правовых или иных санкций в данном случае означает то, что Федеральным законом эти санкции могут быть установлены.<br><br>Статья 72 Конституции РФ относит  установление общих принципов организации системы органов государственной власти и местного самоуправления  к предметам совместного ведения РФ и субъектам РФ. Статья 76:<br> 2. По предметам совместного ведения Российской Федерации и субъектов Российской Федерации издаются федеральные законы и принимаемые в соответствии с ними законы и иные нормативные правовые акты субъектов Российской Федерации. <br>5. Законы и иные нормативные правовые акты субъектов Российской Федерации не могут противоречить федеральным законам, принятым в соответствии с частями первой и второй настоящей статьи. В случае противоречия между федеральным законом и иным актом, изданным в Российской Федерации, действует федеральный закон. <br><br>В нашем случае по предмету совместного ведения принят Федеральный закон 184-ФЗ. Этим законом конституционно-правовые санкции за соответствующее нарушение не установлены, и возможность регулирования на уровне законодательства субъекта РФ не предусмотрена. Это означает а) отсутствие конституционно-правовых санкций, и б) невозможность введения дополнительных санкций законом субъекта РФ.;0;И4;3
1443;2422;85082;19353280;85038;32803139;25.09.2015 16:56;[id1741219|Виктор], посмотрим, что скажет суд. Я буду только рад, если логика суда совпадет с твоей, хотя что-то мне подсказывает, что будет не все так просто)<br>Тебя не смущает, что п. 5 ст. 12 184-фз тоже не содержит санкцию, а в п. в.1. ст. 4 Закона о статусе депутата Госдумы аналогичные обстоятельства являются основанием досрочного прекращения полномочий?;0;У4;3
1444;2423;85083;19353280;85038;32803139;25.09.2015 17:07;[id1741219|Виктор], считаю, что виновность (умысел, неосторожность) является необходимым элементом состава во всех видах юридической ответственности. Буду благодарен, если приведешь ссылки на авторитетные источники, утверждающие, что виновность не имеет значение для конституционно-правовой ответственности. Начнем с Вики:)<br>http://ru.wikipedia.org/wiki/%D0%AE%D1%80%D0%B8%D0%B4%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D1%8C;0;Р3;4
1445;2424;85084;61976546;85038;32803139;25.09.2015 17:44;[id19353280|Дмитрий], так это ж он апелляционную жалобу подавал по доверенности и, поэтому жалоба не была принята. А в первой инстанции может всё нормально было.;0;К3;4
1446;2425;85100;19353280;85038;32803139;26.09.2015 13:52;[id61976546|Глеб], спасибо, что обратил внимание, посмотрим, что он сам об этом говорит:<br>-  я несколько раз в суде, будучи учредителем некоммерческой организации, представлял ее интересы в процессах ...<br>Можно спорить о том, является ли представительство в суде учредителя организации законным представительством либо же незаконным представительством. Суды первой инстанции сочли это представительство законным, а областной суд счел, что я не мог представлять интересы организации . http://www.gubernia.pskovregion.org/number_758/01.php<br>- По словам Шлосберга, он является не просто учредителем «Возрождения», но и получил доверенность от директора, что сделало его законным представителем и дало право представлять организацию в суде. http://polit.ru/article/2015/09/25/pskov/<br><br>Посмотрев твой ролик, я подумал, что он, не разобравшись в юридических деталях, выступил представителем в суде как учредитель НКО, а суд первой инстанции ошибочно посчитал это допустимым. Но оказывается, что он несколько раз представлял интересы НКО по доверенности, поэтому его аргумент о том, что он считал себя законным представителем, мягко говоря, неубедителен. <br><br>Еще один вариант защиты предлагает Вячеслав Плахотнюк:  если Шлосберг докажет, что его участие в судах не связано со статусом депутата, что это было безвозмездно, и он не использовал мандат или авторитет депутата, чтобы повлиять на суд и оказать давление, то у него есть шанс вернуть мандат  http://abnews.ru/2015/09/24/deputaty-skandalisty-yuristy-konstitucionalisty-yuridicheskij-povorot-istorii-shlosberga/;0;Ж4;1
1447;2426;85183;139117;85038;32803139;28.09.2015 14:40;&gt : Еще один вариант защиты предлагает Вячеслав Плахотнюк...<br>Не вариант вообще. <br><br>Если Шлосберг действительно ходил с доверенностью, то ни о каком законном представительстве, конечно, речи не идёт. И то, что он заблуждался о  законности , никакого значения не имеет. <br><br>Соответственно, запрет на осуществление представительства он нарушил.<br><br>Делается упор на то, что суд 1 инстанции допустил до разбирательства, соответственно, Шлосберг не виновен в сложившемся нарушении.<br>Но тут вопрос - кто должен был думать? Шлосберг за себя, или суд за него? <br><br>То или иное поведение не становится легальным от ошибки суда.;0;Ж4;1
1448;2427;85258;32179240;85038;32803139;30.09.2015 15:02;http://www.yabloko.ru/regnews/Pskov/2015/09/28;0;;
1449;2428;85272;19353280;85038;32803139;01.10.2015 12:42;[id32179240|Евгений], цитата:  Вместе с тем основания для прекращения полномочий депутата в случае нарушения ограничений, связанных с депутатской деятельностью, предусмотрены иными нормами – частью 5 статьи 6 названного Закона Псковской области . Не могли бы Вы дать ссылку на редакцию названного закона, которая содержит часть 5 статьи 6?;0;Р3;3
1450;2429;85387;32179240;85038;32803139;05.10.2015 11:24;[id19353280|Дмитрий], вот что ответил мне Лев Шлосберг: <br><br>  Ошибки нет. Статья 6 закона Псковской области  О статусе депутата...  предусматривает основания для досрочного прекращения полномочий депутата.<br>03.10.15 <br>Спасибо за отклик.<br>На самом деле часть 5 статьи 7:<br><br>5. Утрата депутатом Собрания гражданства Российской Федерации, приобретение им гражданства иностранного государства либо получение им вида на жительство или иного документа, подтверждающего право на постоянное проживание гражданина Российской Федерации на территории иностранного государства, является основанием для досрочного прекращения депутатских полномочий.  ??;0;И4;2
1451;2430;85472;19353280;85038;32803139;12.10.2015 17:41; Ошибки нет  и тут же  На самом деле часть 5 статьи 7 .<br>Таким образом, ошибка, на самом деле, есть);0;И4;3
1452;2431;85476;32179240;85038;32803139;12.10.2015 18:06;[id19353280|Дмитрий], я привел ответ целиком, как  склеил  его движок  вконтакте . Т.е. там два ответа, и во втором Лев поправляет:  На самом деле часть 5 статьи 7 .;0;Б3,К4;2
