;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;;;
6089;25697;248974;41491268;248928;25106701;04.10.2015 15:49;Наверное мы скоро увидим в интернете боевиков ИГИЛа которые будут в торжественной обстановке массово резать головы русскоговорящим заложникам! ((;0;;;У4;3
6090;25698;248976;309443528;248928;25106701;04.10.2015 16:22;А где они их возьмут?Разве что среди своих же боевиков.;0;;;А3;3
6091;25699;248978;41491268;248928;25106701;04.10.2015 16:25;[id309443528|Анатолий], Не знаю, могу только предположить, что в роли убиваемых будут военнослужащие ВС РФ находящиеся в Сирии! Но это только моё предположение! Мы же уже видели как боевики в ЧР отрезали головы солдатам, думаю и там будет тоже самое!;0;;;У3;3
6092;25700;248979;309443528;248928;25106701;04.10.2015 16:47;[id41491268|Софрон], думаю им осуществить это будет сложнее чем боевикам в ЧР.;0;;;И3;3
6093;25701;248980;41491268;248928;25106701;04.10.2015 16:51;[id309443528|Анатолий], Может быть и сложней, а может и нет!;0;;;м3,м4;3
6094;25702;248981;309443528;248928;25106701;04.10.2015 16:57;[id41491268|Софрон], там нет солдат едва оторванных от маменькина соска.;0;;;Б3;3
6095;25703;248983;309443528;248928;25106701;04.10.2015 17:24;[id104567037|Михаил], вы похожи на идеалистов 19 века грезящих о справедливости,свободе,равенстве,многие из которых приветствовали убийство царей,революции,террор.Но царей сменили пожизненные генсеки.Всё это мы уже проходили.Где вы были?Подобно коммунизму демократия новая ловушка для новых идеалистов и революций,после которых приходят управляемые диктаторы,которым на народ тоже наплевать.;0;;;Ж3;4
6096;25704;248986;3795470;248928;25106701;04.10.2015 20:32;[id104567037|Михаил], обратите внимание - когда я говорил про власть - ... лишь бы дело делал  - фашики не мой выбор. Даже если расстрел =( но тут вы явно утрируете - старое доброе доведение до абсурда.;0;;;К3;4
6097;25705;248987;3795470;248928;25106701;04.10.2015 20:35;[id104567037|Михаил], всеобщий прагматизм.. мда. Все зависит от целевых установок - что считать полезным, а что нет? Сотрудничество с фашистами или смерть? Шикарный выбор без выбора вы мне предоставили - выбирайте за себя, банальная манипуляция.;0;;;Г3;4
6098;25706;248992;383981;248928;25106701;05.10.2015 0:37;[id104567037|Михаил], детка, я на пенсии уже 7 лет как. и в России на пенсию мне хватает и на булку с икрой, и на безлимитный тырнет. Не надо со мной разговаривать, как будто я дитя безмозглое. И вики изучила, и все остальные источники. Не надо словоблудить. У меня-то время на пенсии есть всякую хрень писать, вы бы лучше работу работали, чем по верхам исторические частоуки впаривать тем, кто Соловьева с Карамзиным и Ключевским не читал.;1;;;Е1, Н3;4
6099;25707;248994;131834045;248928;25106701;05.10.2015 10:02;Это кто так решил?полнейшая чушь))все видно,сами попробуйте посмотреть))а если еще и разведка работает?а она работает,то даже ослу понятно все))!;0;;;Ш2;3
6100;25708;248995;131834045;248928;25106701;05.10.2015 10:06;Да и боевики испугались,побежали..под прикрытием беженцев);1;;;Ш4;3
6101;25709;249016;272083778;248928;25106701;05.10.2015 12:14;КАРАУЛ!!!! Мировая  общественность  и Сырожа Мирошниченко в шоке!!! Россия бомбит   хороших  террористов! Те бедненькие сидя в бункерах обсуждали какой подарок Сирийским деткам на новый год сделать, рядом с ними пиротехника для бенгальсуих огней , а их раздолбали!!!!! Вот дурдом! Это как делят этих террористов на хороших и плохих? Те меньше голов отрезали людям чтоли? Вы,  запад! Или боритесь с ИГ, или не мешайте!;2;;;Ц3, Р2;3
6102;25710;249472;104567037;248928;25106701;06.10.2015 15:52;[id383981|Ольга], ох, боже мой! Да вы что, серьезно, хватает на икорку с маслицем??? Красотища! Вам можно только позавидовать, не всем пенсионерам на икорку хватает. Вы прямо таки - пэнсионная элита! ) Вы не читали Соловьева, Карамазина и Ключевского??? Как же так? Тогда я даже и не знаю что вам ответить, нам не о чем говорить с вами, увы. ??;0;;;Ц3 ;4
6103;25711;250757;383981;248928;25106701;10.10.2015 2:33;[id104567037|Михаил], чокнулся что ли. еще и в будущем году 2 раза прибавят. уже медвежонок объявил. я с вас фигею. вы вообще не в России живете?????????????;0;;;Н3;4
6104;25712;250758;383981;248928;25106701;10.10.2015 2:39;[id104567037|Михаил], реально оторван от реальной жизни.не. мы тут старухи в ватниках ходим, срем в очко и грамоты не знаем. ущербный что ли???? ты, ушлёпок, в деревню любую заедь, мы грамоте обучены , урод. книжки читаем, телик смотрим. мы вообще-то в России живём, твои, между прочим, сограждане, а не какое-то бестолковое быдло. хоть и гна пенсии. Что за высокомерие и снобизм????????????;0;;;Л3, Т3;4
